Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
6.099348499364117,000305Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.2,54.65,,7215,none,A3,36.134731,-79.820174,8,186,0.326,2,1,10,1,3,perhour,2,2,0,0,[],[],59930187,0.0,-13.4
0.4712548011189142,000305Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326333,8.6,-21.1
6.903928376176368,000310Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,523.6,60.35,0,1770,none,A2,36.187912,-80.025673,8,186,0.031,2,1,9,1,3,perhour,2,2,0,0,[],[],24846214,0.0,-14.0
6.834962784860954,000310Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1375,126.3,79.05,0,1200,none,A7,35.983932,-79.934578,9,75,0.369,2,1,10,2,3,perhour,2,2,0,0,[],[],350770,0.4,-24.2
7.417096840396887,000310Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,412.8,212.54,,1620,none,A3,36.201553,-79.854355,8,186,0.234,2,1,10,1,3,perhour,2,2,0,0,[],[],49754937,0.1,-12.2
6.810475646924413,000310Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,526.6,54.74,,7215,none,A3,36.141807,-79.807902,8,186,0.295,2,1,10,1,3,perhour,2,2,0,0,[],[],59930237,0.0,-16.5
0.4712548011189142,000310Z,adda23,mode_s,DAL1604 ,N992AT,B712,ground,,0.0,,,5113,none,A3,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326334,2.0,-21.2
6.844662481473511,000315Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,522.7,58.77,64,1770,none,A2,36.194086,-80.012785,8,186,0.11,2,1,9,1,3,perhour,2,2,0,0,[],[],24846256,0.0,-16.4
6.808731542260913,000315Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1400,126.1,79.49,-192,1200,none,A7,35.984461,-79.93103,9,75,0.245,2,1,10,2,3,perhour,2,2,0,0,[],[],350789,0.2,-22.1
6.821628768000148,000315Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,413.6,212.46,,1620,none,A3,36.193176,-79.860935,8,186,0.055,2,1,10,1,3,perhour,2,2,0,0,[],[],49754991,0.0,-9.8
